tactic,counter,prob
rw [pow_succ'],20,0.0002261138935681903
ext1 i,20,0.0002261138935681903
cases g,20,0.0002261138935681903
apply lintegral_congr_ae,20,0.0002261138935681903
rw [zero_add],20,0.0002261138935681903
simpa only [sub_eq_add_neg] using hf.add hg.neg,20,0.0002261138935681903
rw [← image_univ],20,0.0002261138935681903
nontriviality α,20,0.0002261138935681903
intro X,19,0.0002148081988897808
apply h',19,0.0002148081988897808
cases l <;> rfl,19,0.0002148081988897808
"rintro ⟨x, rfl⟩",19,0.0002148081988897808
intro p,19,0.0002148081988897808
apply le_max_left,19,0.0002148081988897808
simp only [Category.assoc],19,0.0002148081988897808
ext ω,19,0.0002148081988897808
dsimp at h,19,0.0002148081988897808
simp_rw [div_eq_mul_inv],19,0.0002148081988897808
simp [add_comm],19,0.0002148081988897808
apply ih,19,0.0002148081988897808
apply Quot.sound,19,0.0002148081988897808
"rintro ⟨a, rfl⟩",19,0.0002148081988897808
simp [hc],19,0.0002148081988897808
exact h₂,19,0.0002148081988897808
intro v,19,0.0002148081988897808
constructor <;> rfl,19,0.0002148081988897808
intro s hs hμs,19,0.0002148081988897808
tfae_have 3 → 2,18,0.00020350250421137127
simpa using w,18,0.00020350250421137127
"simp only [hx, mfld_simps]",18,0.00020350250421137127
use i,18,0.00020350250421137127
intro f hf,18,0.00020350250421137127
intro hs,18,0.00020350250421137127
simp [hb],18,0.00020350250421137127
simp only [this],18,0.00020350250421137127
ext w,18,0.00020350250421137127
induction' l with hd tl IH,18,0.00020350250421137127
convert rfl,18,0.00020350250421137127
exact hs,18,0.00020350250421137127
simp [map],18,0.00020350250421137127
rw [pow_zero],18,0.00020350250421137127
exact bot_le,18,0.00020350250421137127
push_neg at H,18,0.00020350250421137127
rw [ha],18,0.00020350250421137127
"rintro ⟨h₁, h₂⟩",18,0.00020350250421137127
rwa [this],18,0.00020350250421137127
intro w hw,18,0.00020350250421137127
"simp [integral, hG]",18,0.00020350250421137127
rw [hn],18,0.00020350250421137127
funext n,18,0.00020350250421137127
ext k,18,0.00020350250421137127
assumption_mod_cast,18,0.00020350250421137127
rcases p with ⟨⟩,18,0.00020350250421137127
by_contra! H,18,0.00020350250421137127
intro x hx y hy hxy,18,0.00020350250421137127
"exact ⟨rfl, rfl⟩",18,0.00020350250421137127
simp [hs],18,0.00020350250421137127
tfae_have 2 → 1,18,0.00020350250421137127
subst H,17,0.00019219680953296174
isBoundedDefault,17,0.00019219680953296174
intro x hx y hy,17,0.00019219680953296174
nontriviality A,17,0.00019219680953296174
rintro x -,17,0.00019219680953296174
intro a b hab,17,0.00019219680953296174
cases h₁,17,0.00019219680953296174
simp [hf],17,0.00019219680953296174
filter_upwards with x,17,0.00019219680953296174
rw [← not_iff_not],17,0.00019219680953296174
by_cases h : i = j,17,0.00019219680953296174
constructor <;> intro H,17,0.00019219680953296174
exact measure_ne_top _ _,17,0.00019219680953296174
"refine ⟨?_, ?_⟩",17,0.00019219680953296174
apply sum_congr rfl,17,0.00019219680953296174
by_cases hq : q = 0,17,0.00019219680953296174
exact hp,17,0.00019219680953296174
rcases eq_or_ne n 0 with rfl | hn,17,0.00019219680953296174
rw [continuous_iff_continuousAt],17,0.00019219680953296174
by_cases hp0 : p = 0,17,0.00019219680953296174
intro h x hx,16,0.00018089111485455225
split_ifs <;> simp [*],16,0.00018089111485455225
rcases eq_or_ne a 0 with (rfl | ha),16,0.00018089111485455225
induction' n with n ihn,16,0.00018089111485455225
ext1 y,16,0.00018089111485455225
rw [h] at this,16,0.00018089111485455225
simp [H],16,0.00018089111485455225
intro l,16,0.00018089111485455225
intro v hv,16,0.00018089111485455225
simp [mul_comm],16,0.00018089111485455225
intro l hl,16,0.00018089111485455225
funext x y,16,0.00018089111485455225
cases i <;> rfl,16,0.00018089111485455225
exact rfl,16,0.00018089111485455225
exact dvd_mul_right _ _,16,0.00018089111485455225
split_ifs with hi,16,0.00018089111485455225
tfae_have 2 → 3,16,0.00018089111485455225
